representation,model,protocol,train_samples,test_samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
dfg_only,logistic_regression,official_test_OOD_kinase,615,112,0.9642857142857143,0.8461538461538461,0.9611650485436893,1.0,0.9801980198019802,0.8111888111888111
dfg_alphac,xgboost,official_test_OOD_kinase,615,112,0.4732142857142857,0.702020202020202,1.0,0.40404040404040403,0.5755395683453237,0.8484848484848485
dfg_alphac,logistic_regression,official_test_OOD_kinase,615,112,0.8928571428571429,0.5718725718725719,0.8990825688073395,0.98989898989899,0.9423076923076923,0.804972804972805
dfg_only,random_forest,official_test_OOD_kinase,615,112,0.22321428571428573,0.5606060606060606,1.0,0.12121212121212122,0.21621621621621623,0.898989898989899
dfg_only,xgboost,official_test_OOD_kinase,615,112,0.24107142857142858,0.5372960372960374,0.9375,0.15151515151515152,0.2608695652173913,0.8422688422688422
ca_coordinates,small_mlp,official_test_OOD_kinase,615,112,0.875,0.5283605283605284,0.8899082568807339,0.9797979797979798,0.9326923076923077,0.494949494949495
alphac_only,logistic_regression,official_test_OOD_kinase,615,112,0.8660714285714286,0.5233100233100233,0.8888888888888888,0.9696969696969697,0.927536231884058,0.37606837606837606
dfg_only,small_mlp,official_test_OOD_kinase,615,112,0.25892857142857145,0.513986013986014,0.9,0.18181818181818182,0.3025210084033613,0.5874125874125874
local_geometry,logistic_regression,official_test_OOD_kinase,615,112,0.13392857142857142,0.51010101010101,1.0,0.020202020202020204,0.039603960396039604,0.222999222999223
distance_matrix,logistic_regression,official_test_OOD_kinase,615,112,0.42857142857142855,0.4763014763014763,0.8723404255319149,0.41414141414141414,0.5616438356164384,0.4560994560994561
ca_coordinates,xgboost,official_test_OOD_kinase,615,112,0.5982142857142857,0.47202797202797203,0.875,0.6363636363636364,0.7368421052631579,0.4933954933954935
coordinates_distances,logistic_regression,official_test_OOD_kinase,615,112,0.11607142857142858,0.4331779331779332,0.5,0.020202020202020204,0.038834951456310676,0.16860916860916858
local_geometry,xgboost,official_test_OOD_kinase,615,112,0.11607142857142858,0.4331779331779332,0.5,0.020202020202020204,0.038834951456310676,0.30613830613830617
local_geometry,small_mlp,official_test_OOD_kinase,615,112,0.33035714285714285,0.38733488733488736,0.8157894736842105,0.31313131313131315,0.45255474452554745,0.40481740481740486
dfg_alphac,small_mlp,official_test_OOD_kinase,615,112,0.33035714285714285,0.38733488733488736,0.8157894736842105,0.31313131313131315,0.45255474452554745,0.37529137529137535
dfg_alphac,random_forest,official_test_OOD_kinase,615,112,0.1875,0.37334887334887334,0.7222222222222222,0.13131313131313133,0.2222222222222222,0.4417249417249417
alphac_only,small_mlp,official_test_OOD_kinase,615,112,0.4732142857142857,0.3344988344988345,0.8225806451612904,0.5151515151515151,0.6335403726708074,0.40870240870240876
ca_coordinates,logistic_regression,official_test_OOD_kinase,615,112,0.29464285714285715,0.3337218337218337,0.7777777777777778,0.2828282828282828,0.4148148148148148,0.31002331002331
ca_coordinates,random_forest,official_test_OOD_kinase,615,112,0.25892857142857145,0.28010878010878015,0.7352941176470589,0.25252525252525254,0.37593984962406013,0.22843822843822842
local_geometry,random_forest,official_test_OOD_kinase,615,112,0.08035714285714286,0.27933177933177933,0.25,0.020202020202020204,0.037383177570093455,0.19735819735819735
alphac_only,xgboost,official_test_OOD_kinase,615,112,0.0625,0.23581973581973584,0.125,0.010101010101010102,0.018691588785046728,0.1379176379176379
distance_matrix,random_forest,official_test_OOD_kinase,615,112,0.05357142857142857,0.16394716394716397,0.18181818181818182,0.020202020202020204,0.03636363636363636,0.11693861693861693
distance_matrix,xgboost,official_test_OOD_kinase,615,112,0.05357142857142857,0.16394716394716397,0.18181818181818182,0.020202020202020204,0.03636363636363636,0.22027972027972026
distance_matrix,small_mlp,official_test_OOD_kinase,615,112,0.05357142857142857,0.16394716394716397,0.18181818181818182,0.020202020202020204,0.03636363636363636,0.12898212898212896
coordinates_distances,random_forest,official_test_OOD_kinase,615,112,0.05357142857142857,0.16394716394716397,0.18181818181818182,0.020202020202020204,0.03636363636363636,0.25485625485625485
coordinates_distances,xgboost,official_test_OOD_kinase,615,112,0.05357142857142857,0.16394716394716397,0.18181818181818182,0.020202020202020204,0.03636363636363636,0.17715617715617712
coordinates_distances,small_mlp,official_test_OOD_kinase,615,112,0.05357142857142857,0.16394716394716397,0.18181818181818182,0.020202020202020204,0.03636363636363636,0.23076923076923078
alphac_only,random_forest,official_test_OOD_kinase,615,112,0.05357142857142857,0.16394716394716397,0.18181818181818182,0.020202020202020204,0.03636363636363636,0.1585081585081585
local_geometry,xgboost,within_kinase_stratified,646,217,0.967741935483871,0.968643635125936,0.9907407407407407,0.9469026548672567,0.9683257918552036,0.9842579986385296
distance_matrix,xgboost,within_kinase_stratified,646,217,0.9585253456221198,0.9594111640571817,0.9814814814814815,0.9380530973451328,0.9592760180995475,0.9805139550714772
dfg_alphac,xgboost,within_kinase_stratified,646,217,0.9585253456221198,0.9594111640571817,0.9814814814814815,0.9380530973451328,0.9592760180995475,0.9857045609257998
distance_matrix,random_forest,within_kinase_stratified,646,217,0.9539170506912442,0.9546034717494895,0.9724770642201835,0.9380530973451328,0.954954954954955,0.9726855003403676
dfg_only,random_forest,within_kinase_stratified,646,217,0.9539170506912442,0.9546034717494895,0.9724770642201835,0.9380530973451328,0.954954954954955,0.9718771272974813
dfg_alphac,random_forest,within_kinase_stratified,646,217,0.9539170506912442,0.9546034717494895,0.9724770642201835,0.9380530973451328,0.954954954954955,0.9797481279782164
local_geometry,random_forest,within_kinase_stratified,646,217,0.9539170506912442,0.9542205582028591,0.963963963963964,0.9469026548672567,0.9553571428571429,0.9845132743362831
coordinates_distances,random_forest,within_kinase_stratified,646,217,0.9493087557603687,0.9501786929884275,0.9722222222222222,0.9292035398230089,0.9502262443438914,0.9737916950306331
dfg_only,xgboost,within_kinase_stratified,646,217,0.9493087557603687,0.9501786929884275,0.9722222222222222,0.9292035398230089,0.9502262443438914,0.9732385976855003
distance_matrix,small_mlp,within_kinase_stratified,646,217,0.9400921658986175,0.9413291354663036,0.9716981132075472,0.911504424778761,0.9406392694063926,0.9633253914227367
coordinates_distances,xgboost,within_kinase_stratified,646,217,0.9354838709677419,0.9361385296119809,0.9541284403669725,0.9203539823008849,0.9369369369369369,0.9787270251872021
