feature,importance,region
hrd_dfg_distance,0.12479515801344154,HRD-DFG
DFG_std_distance,0.11556024183303645,DFG
DFG_radius,0.07856022921070656,DFG
DFG_mean_distance,0.052510638886488624,DFG
lys_dfg_distance,0.05134017045874437,Lys-Glu
glu_dfg_distance,0.04778390490921255,Lys-Glu
mean_distance,0.04047385053699302,global
radius_of_gyration,0.04041299230308428,global
activation_loop_mean_distance,0.03687428104621625,activation_loop
contact_fraction_8A,0.03637264737002252,global
median_distance,0.035085931627394054,global
contact_fraction_6A,0.03282449233996456,global
std_distance,0.030813263900126085,global
contact_fraction_10A,0.03017016763060179,global
alphaC_radius,0.026200495781356487,alphaC
alphaC_mean_distance,0.024328298960638525,alphaC
contact_fraction_12A,0.024227013245126956,global
activation_loop_radius,0.024147630959950102,activation_loop
alphaC_std_distance,0.023173231631263568,alphaC
max_distance,0.02268143865851208,global
lys_glu_distance,0.021874606334363694,Lys-Glu
activation_loop_std_distance,0.021815043764779694,activation_loop
num_residues,0.019265143722044686,global
HRD_std_distance,0.01637635163093133,HRD
HRD_radius,0.01155886031157895,HRD
HRD_mean_distance,0.01077391493342115,HRD
