kinase,status,samples,active,inactive,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
AKT1,evaluated,33,16.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0
BRAF,evaluated,109,21.0,88.0,0.9536796536796537,0.9712418300653596,0.8200000000000001,1.0,0.8973737373737374,0.9823529411764707
CDK6,evaluated,19,5.0,14.0,0.95,0.9666666666666666,0.9,1.0,0.9333333333333332,1.0
EGFR,evaluated,267,160.0,107.0,0.9626834381551361,0.9626352813852813,0.9745833333333334,0.9625,0.9683467741935484,0.9729166666666668
ABL1,evaluated,43,7.0,36.0,0.9055555555555556,0.9428571428571428,0.6666666666666666,1.0,0.7866666666666666,0.9857142857142858
KIT,evaluated,35,10.0,25.0,0.9428571428571428,0.93,0.9333333333333333,0.9,0.8933333333333333,1.0
MET,evaluated,101,6.0,95.0,0.910952380952381,0.718421052631579,0.3,0.5,0.3666666666666666,0.8736842105263157
PIK3CA,evaluated,101,97.0,4.0,0.7715384615384615,0.5216666666666666,0.9617794486215538,0.7933333333333333,0.8690877429502303,0.7195833333333334
ALK,insufficient minority examples,64,,,,,,,,
CDK4,insufficient minority examples,14,,,,,,,,
ERBB2,insufficient minority examples,5,,,,,,,,
FGFR1,insufficient minority examples,61,,,,,,,,
PDGFRA,insufficient minority examples,11,,,,,,,,
