feature,importance
hrd_dfg_distance,0.18895947356879975
dfg_radius,0.1484599435262059
dfg_mean_distance,0.1399397604234544
hrd_radius,0.10357372915505254
hrd_mean_distance,0.10285689369507912
lys_dfg_distance,0.062206652268450284
lys_glu_distance,0.04594856853978198
alphac_mean_distance,0.04295552697103516
alphac_radius,0.039833720646858285
activation_loop_mean_distance,0.032203060522620064
mean_distance,0.032035366124953814
activation_loop_radius,0.031005386778697262
std_distance,0.028260712123919195
radius_of_gyration,0.001761205655092401
