kind,time,trajectory,pc1,pc2,tsne1,tsne2
real_inactive,0.0,0,-3.141831,3.77491,8.769648,5.349587
real_active,1.0,0,-3.5119836,-5.151436,-81.865395,-17.408018
generated,0.0,0,-3.141833,3.774911,30.289341,-17.934347
generated,0.25,0,-3.0643647,3.5687282,12.100721,-12.836033
generated,0.5,0,-3.0917974,3.3723524,25.60516,-1.2267233
generated,0.75,0,-3.2870533,3.173409,27.60584,15.723727
generated,1.0,0,-3.5457134,3.018489,42.614445,2.9268079
real_inactive,0.0,1,-5.116119,8.96318,-20.906174,-98.177704
real_active,1.0,1,-4.7207394,4.936537,-27.536358,-63.435875
generated,0.0,1,-5.116119,8.96318,-20.906174,-98.177704
generated,0.25,1,-4.963802,8.764862,-4.692044,-88.20096
generated,0.5,1,-4.878081,8.608541,0.36950535,-105.10155
generated,0.75,1,-4.9180584,8.496976,-8.098787,-119.66893
generated,1.0,1,-5.0127916,8.420995,-25.372265,-119.631485
real_inactive,0.0,2,-5.840921,-11.175431,-91.88828,38.48792
real_active,1.0,2,-3.1864026,-4.947461,-72.4766,-9.530295
generated,0.0,2,-5.840921,-11.175431,-108.34467,28.96682
generated,0.25,2,-5.7909236,-11.274602,-122.984505,40.50709
generated,0.5,2,-5.819946,-11.480329,-118.65681,59.60634
generated,0.75,2,-5.947888,-11.820085,-106.514336,47.805202
generated,1.0,2,-6.0827293,-12.137725,-97.73056,62.08084
real_inactive,0.0,3,16.907963,-0.39832777,134.07396,100.37082
real_active,1.0,3,-5.101166,5.1120915,-39.884968,-68.34206
generated,0.0,3,16.907963,-0.39832777,117.7846,90.861824
generated,0.25,3,16.77415,-0.5240438,121.00963,71.379005
generated,0.5,3,16.743647,-0.6475115,150.02975,87.35097
generated,0.75,3,16.836697,-0.8145853,134.09573,82.154205
generated,1.0,3,16.950758,-1.0038588,142.7394,67.50504
