kind,time,trajectory,pc1,pc2
real_inactive,0.0,0,-3.141831,3.77491
real_active,1.0,0,-3.5119836,-5.151436
generated,0.0,0,-3.141833,3.774911
generated,0.25,0,-3.0643647,3.5687282
generated,0.5,0,-3.0917974,3.3723524
generated,0.75,0,-3.2870533,3.173409
generated,1.0,0,-3.5457134,3.018489
real_inactive,0.0,1,-5.116119,8.96318
real_active,1.0,1,-4.7207394,4.936537
generated,0.0,1,-5.116119,8.96318
generated,0.25,1,-4.963802,8.764862
generated,0.5,1,-4.878081,8.608541
generated,0.75,1,-4.9180584,8.496976
generated,1.0,1,-5.0127916,8.420995
real_inactive,0.0,2,-5.840921,-11.175431
real_active,1.0,2,-3.1864026,-4.947461
generated,0.0,2,-5.840921,-11.175431
generated,0.25,2,-5.7909236,-11.274602
generated,0.5,2,-5.819946,-11.480329
generated,0.75,2,-5.947888,-11.820085
generated,1.0,2,-6.0827293,-12.137725
real_inactive,0.0,3,16.907963,-0.39832777
real_active,1.0,3,-5.101166,5.1120915
generated,0.0,3,16.907963,-0.39832777
generated,0.25,3,16.77415,-0.5240438
generated,0.5,3,16.743647,-0.6475115
generated,0.75,3,16.836697,-0.8145853
generated,1.0,3,16.950758,-1.0038588
