kind,time,trajectory,pc1,pc2,tsne1,tsne2
real_active,0.0,0,7.4107547,-2.9446857,288.96634,480.47305
real_inactive,1.0,0,-6.2340417,-7.3210354,-22.772648,-205.62177
generated,0.0,0,7.4107547,-2.9446852,-89.72902,175.27199
generated,0.25,0,8.391083,-1.0390218,96.66908,-515.39
generated,0.5,0,9.459392,0.8443681,84.18287,149.56148
generated,0.75,0,10.649209,2.757455,147.94824,44.77314
generated,1.0,0,11.75572,4.4573803,211.76552,-45.13015
real_active,0.0,1,-8.7064085,-0.723941,-155.19788,-292.54977
real_inactive,1.0,1,-9.770981,-4.14225,-74.19975,-446.526
generated,0.0,1,-8.7064085,-0.723941,-155.19788,-292.54977
generated,0.25,1,-7.983513,1.2917333,-514.9865,-27.997837
generated,0.5,1,-7.2321596,3.1700044,-348.63058,-160.58763
generated,0.75,1,-6.4347386,4.962295,-153.93265,-30.376217
generated,1.0,1,-5.65772,6.5245442,-358.8211,-18.039831
real_active,0.0,2,7.005481,-2.7219055,150.23022,430.84482
real_inactive,1.0,2,1.9113882,-6.025597,75.88885,316.81784
generated,0.0,2,7.005481,-2.7219055,150.23022,430.84482
generated,0.25,2,7.957666,-0.95693994,189.28157,232.5167
generated,0.5,2,9.040997,0.81535906,274.33408,117.75541
generated,0.75,2,10.294916,2.67841,365.57224,286.15112
generated,1.0,2,11.482331,4.3494787,279.1954,-129.83902
real_active,0.0,3,-8.905381,-0.8679319,-83.3792,8153.369
real_inactive,1.0,3,-2.7760231,-16.124067,52.72511,-291.0719
generated,0.0,3,-8.905381,-0.8679319,-83.48678,-6737.1895
generated,0.25,3,-8.241332,1.3277118,340.90503,-368.76114
generated,0.5,3,-7.526274,3.5012846,-36.523632,-21.166008
generated,0.75,3,-6.7362347,5.7233343,-245.79126,-69.738594
generated,1.0,3,-5.9585686,7.722485,-263.65033,55.848747
