kind,time,trajectory,pc1,pc2
real_active,0.0,0,7.4107547,-2.9446857
real_inactive,1.0,0,-6.2340417,-7.3210354
generated,0.0,0,7.4107547,-2.9446852
generated,0.25,0,8.391083,-1.0390218
generated,0.5,0,9.459392,0.8443681
generated,0.75,0,10.649209,2.757455
generated,1.0,0,11.75572,4.4573803
real_active,0.0,1,-8.7064085,-0.723941
real_inactive,1.0,1,-9.770981,-4.14225
generated,0.0,1,-8.7064085,-0.723941
generated,0.25,1,-7.983513,1.2917333
generated,0.5,1,-7.2321596,3.1700044
generated,0.75,1,-6.4347386,4.962295
generated,1.0,1,-5.65772,6.5245442
real_active,0.0,2,7.005481,-2.7219055
real_inactive,1.0,2,1.9113882,-6.025597
generated,0.0,2,7.005481,-2.7219055
generated,0.25,2,7.957666,-0.95693994
generated,0.5,2,9.040997,0.81535906
generated,0.75,2,10.294916,2.67841
generated,1.0,2,11.482331,4.3494787
real_active,0.0,3,-8.905381,-0.8679319
real_inactive,1.0,3,-2.7760231,-16.124067
generated,0.0,3,-8.905381,-0.8679319
generated,0.25,3,-8.241332,1.3277118
generated,0.5,3,-7.526274,3.5012846
generated,0.75,3,-6.7362347,5.7233343
generated,1.0,3,-5.9585686,7.722485
