kind,time,trajectory,pc1,pc2,tsne1,tsne2
real_inactive,0.0,0,-1.8365823,5.994537,-3.4547431,-0.3339161
real_active,1.0,0,-2.8293445,-0.10131862,-5.426321,-6.979145
generated,0.0,0,-1.8365811,5.994537,-3.4569108,-0.25444734
generated,0.25,0,-1.814323,6.01017,-3.646065,-0.11333234
generated,0.5,0,-1.7874414,6.028908,-3.7396264,-0.5539016
generated,0.75,0,-1.7555507,6.052145,-3.8907785,-0.25782937
generated,1.0,0,-1.7186159,6.0793524,-3.8972983,-0.47999132
real_inactive,0.0,1,-1.790874,11.664697,-7.9195623,-0.6495155
real_active,1.0,1,-2.423395,8.542678,-7.403128,-2.3083737
generated,0.0,1,-1.790874,11.664697,-7.9195623,-0.6495155
generated,0.25,1,-1.7489631,11.731086,-8.258447,-0.85975814
generated,0.5,1,-1.7036883,11.797298,-8.106037,-0.47272268
generated,0.75,1,-1.6552755,11.863339,-8.381284,-0.78675073
generated,1.0,1,-1.6035962,11.929274,-8.394578,-0.58888483
real_inactive,0.0,2,-7.579127,-7.10584,-0.79334354,-9.128792
real_active,1.0,2,-2.5733566,-0.13757044,-5.425638,-6.973507
generated,0.0,2,-7.579127,-7.10584,-0.79334354,-9.128792
generated,0.25,2,-7.5449953,-7.093793,-0.3104382,-9.277543
generated,0.5,2,-7.5052495,-7.0767193,-0.747765,-9.484305
generated,0.75,2,-7.45955,-7.053267,-0.21023242,-9.466192
generated,1.0,2,-7.4078784,-7.0237374,-0.38171783,-9.6413765
real_inactive,0.0,3,16.498404,-2.6874743,-5.108901,11.957707
real_active,1.0,3,-2.6707418,8.909786,-7.404482,-2.3384974
generated,0.0,3,16.498404,-2.6874743,-5.108901,11.957707
generated,0.25,3,16.54253,-2.5841417,-5.3433723,12.145732
generated,0.5,3,16.585014,-2.4787629,-5.637804,12.150609
generated,0.75,3,16.626263,-2.3700418,-5.86375,11.970787
generated,1.0,3,16.666656,-2.258796,-5.906831,11.975479
real_inactive,0.0,4,-4.943825,0.94639796,-2.36723,-2.4108634
real_active,1.0,4,-2.7289104,-0.11554406,-5.4261513,-6.976916
generated,0.0,4,-4.943825,0.94639796,-2.36723,-2.4108634
generated,0.25,4,-4.924407,0.9537955,-2.1896842,-2.4753668
generated,0.5,4,-4.899422,0.96502113,-2.0078995,-2.3319333
generated,0.75,4,-4.8683968,0.98162276,-2.0978863,-2.134093
generated,1.0,4,-4.831474,1.0030499,-2.0249455,-2.1261003
real_inactive,0.0,5,-6.71948,-5.2166705,0.076815054,-5.9337916
real_active,1.0,5,-2.463105,8.601614,-7.403385,-2.3114827
generated,0.0,5,-6.71948,-5.2166705,0.076815054,-5.9337916
generated,0.25,5,-6.676988,-5.173326,0.33830982,-6.029113
generated,0.5,5,-6.6292124,-5.1250396,0.6753879,-6.0252385
generated,0.75,5,-6.5760994,-5.0705686,0.48606166,-5.6727233
generated,1.0,5,-6.5172544,-5.0101027,0.7546623,-5.875651
real_inactive,0.0,6,16.36038,-2.8804617,-5.1133533,10.837612
real_active,1.0,6,-2.8052285,-0.104738794,-5.426291,-6.9786386
generated,0.0,6,16.36038,-2.8804617,-5.1133533,10.837612
generated,0.25,6,16.404818,-2.7808585,-5.356767,10.651088
generated,0.5,6,16.448175,-2.6794772,-5.650979,10.669985
generated,0.75,6,16.490824,-2.575388,-5.8600655,10.8454685
generated,1.0,6,16.53305,-2.469197,-5.911636,10.858529
real_inactive,0.0,7,-7.0086827,-7.0406747,0.5625151,-7.8934474
real_active,1.0,7,-2.4669895,8.607382,-7.403055,-2.3118176
generated,0.0,7,-7.0086827,-7.0406747,-0.01076832,-7.6785803
generated,0.25,7,-6.9780183,-7.0423355,0.5516619,-7.8326316
generated,0.5,7,-6.9416256,-7.038998,0.07723328,-7.6599274
generated,0.75,7,-6.8988867,-7.0290236,0.11648008,-7.6292224
generated,1.0,7,-6.8498073,-7.012795,0.6392236,-7.6557007
