kind,time,trajectory,pc1,pc2
real_inactive,0.0,0,-1.8365823,5.994537
real_active,1.0,0,-2.8293445,-0.10131862
generated,0.0,0,-1.8365811,5.994537
generated,0.25,0,-1.814323,6.01017
generated,0.5,0,-1.7874414,6.028908
generated,0.75,0,-1.7555507,6.052145
generated,1.0,0,-1.7186159,6.0793524
real_inactive,0.0,1,-1.790874,11.664697
real_active,1.0,1,-2.423395,8.542678
generated,0.0,1,-1.790874,11.664697
generated,0.25,1,-1.7489631,11.731086
generated,0.5,1,-1.7036883,11.797298
generated,0.75,1,-1.6552755,11.863339
generated,1.0,1,-1.6035962,11.929274
real_inactive,0.0,2,-7.579127,-7.10584
real_active,1.0,2,-2.5733566,-0.13757044
generated,0.0,2,-7.579127,-7.10584
generated,0.25,2,-7.5449953,-7.093793
generated,0.5,2,-7.5052495,-7.0767193
generated,0.75,2,-7.45955,-7.053267
generated,1.0,2,-7.4078784,-7.0237374
real_inactive,0.0,3,16.498404,-2.6874743
real_active,1.0,3,-2.6707418,8.909786
generated,0.0,3,16.498404,-2.6874743
generated,0.25,3,16.54253,-2.5841417
generated,0.5,3,16.585014,-2.4787629
generated,0.75,3,16.626263,-2.3700418
generated,1.0,3,16.666656,-2.258796
real_inactive,0.0,4,-4.943825,0.94639796
real_active,1.0,4,-2.7289104,-0.11554406
generated,0.0,4,-4.943825,0.94639796
generated,0.25,4,-4.924407,0.9537955
generated,0.5,4,-4.899422,0.96502113
generated,0.75,4,-4.8683968,0.98162276
generated,1.0,4,-4.831474,1.0030499
real_inactive,0.0,5,-6.71948,-5.2166705
real_active,1.0,5,-2.463105,8.601614
generated,0.0,5,-6.71948,-5.2166705
generated,0.25,5,-6.676988,-5.173326
generated,0.5,5,-6.6292124,-5.1250396
generated,0.75,5,-6.5760994,-5.0705686
generated,1.0,5,-6.5172544,-5.0101027
real_inactive,0.0,6,16.36038,-2.8804617
real_active,1.0,6,-2.8052285,-0.104738794
generated,0.0,6,16.36038,-2.8804617
generated,0.25,6,16.404818,-2.7808585
generated,0.5,6,16.448175,-2.6794772
generated,0.75,6,16.490824,-2.575388
generated,1.0,6,16.53305,-2.469197
real_inactive,0.0,7,-7.0086827,-7.0406747
real_active,1.0,7,-2.4669895,8.607382
generated,0.0,7,-7.0086827,-7.0406747
generated,0.25,7,-6.9780183,-7.0423355
generated,0.5,7,-6.9416256,-7.038998
generated,0.75,7,-6.8988867,-7.0290236
generated,1.0,7,-6.8498073,-7.012795
