kind,time,trajectory,pc1,pc2,tsne1,tsne2
real_inactive,0.0,0,-3.2021186,4.129975,-109.87512,-29.040565
real_active,1.0,0,-3.7390864,-4.8444843,-47.260513,80.003944
generated,0.0,0,-3.2021182,4.1299734,-95.643074,-16.539799
generated,0.25,0,-2.8990483,3.8140838,-89.89822,-34.518967
generated,0.5,0,-2.619632,3.4672332,-86.386665,-52.526684
generated,0.75,0,-2.4069319,3.08224,-107.391136,-53.493668
generated,1.0,0,-2.2263732,2.7086093,-98.600235,-70.11395
real_inactive,0.0,1,-5.511833,9.063565,-0.12898587,-9.459394
real_active,1.0,1,-5.0851765,5.1577106,-33.650818,10.194363
generated,0.0,1,-5.511833,9.063565,-0.12898587,-9.459394
generated,0.25,1,-5.1640625,8.594429,-17.693537,-20.841454
generated,0.5,1,-4.8262124,8.110737,-6.577088,-36.19549
generated,0.75,1,-4.5403113,7.5858574,13.0034,-37.531628
generated,1.0,1,-4.282468,7.0458775,4.577374,-54.706978
real_inactive,0.0,2,-6.0526953,-10.947278,-11.783031,126.408455
real_active,1.0,2,-3.3767955,-4.673907,-34.320503,74.92797
generated,0.0,2,-6.0526953,-10.947278,2.3749633,113.334335
generated,0.25,2,-5.8826175,-11.117095,10.051962,130.47687
generated,0.5,2,-5.7339587,-11.340157,-3.4832733,145.74289
generated,0.75,2,-5.6193824,-11.643638,13.686927,154.56616
generated,1.0,2,-5.5066476,-11.9137125,28.514767,142.59537
real_inactive,0.0,3,16.56292,-0.0935119,110.646324,-106.4655
real_active,1.0,3,-5.508541,5.3642955,-22.642956,20.397493
generated,0.0,3,16.56292,-0.0935119,138.29236,-128.98257
generated,0.25,3,16.495255,-0.41474903,119.99554,-123.86974
generated,0.5,3,16.455929,-0.72930074,131.71817,-108.41247
generated,0.75,3,16.457624,-1.0935998,100.86322,-129.26004
generated,1.0,3,16.41591,-1.465893,114.62196,-144.63
