kind,time,trajectory,pc1,pc2
real_inactive,0.0,0,-3.2021186,4.129975
real_active,1.0,0,-3.7390864,-4.8444843
generated,0.0,0,-3.2021182,4.1299734
generated,0.25,0,-2.8990483,3.8140838
generated,0.5,0,-2.619632,3.4672332
generated,0.75,0,-2.4069319,3.08224
generated,1.0,0,-2.2263732,2.7086093
real_inactive,0.0,1,-5.511833,9.063565
real_active,1.0,1,-5.0851765,5.1577106
generated,0.0,1,-5.511833,9.063565
generated,0.25,1,-5.1640625,8.594429
generated,0.5,1,-4.8262124,8.110737
generated,0.75,1,-4.5403113,7.5858574
generated,1.0,1,-4.282468,7.0458775
real_inactive,0.0,2,-6.0526953,-10.947278
real_active,1.0,2,-3.3767955,-4.673907
generated,0.0,2,-6.0526953,-10.947278
generated,0.25,2,-5.8826175,-11.117095
generated,0.5,2,-5.7339587,-11.340157
generated,0.75,2,-5.6193824,-11.643638
generated,1.0,2,-5.5066476,-11.9137125
real_inactive,0.0,3,16.56292,-0.0935119
real_active,1.0,3,-5.508541,5.3642955
generated,0.0,3,16.56292,-0.0935119
generated,0.25,3,16.495255,-0.41474903
generated,0.5,3,16.455929,-0.72930074
generated,0.75,3,16.457624,-1.0935998
generated,1.0,3,16.41591,-1.465893
