kind,time,trajectory,pca1,pca2,tsne1,tsne2
real_inactive,0.0,0,2.9933863,2.9882388,-8.128818,-33.80389
real_active,1.0,0,3.0008585,2.9145358,-7.870795,-33.876316
generated,0.0,0,2.9933844,2.988238,-7.7225614,-33.726357
generated,0.25,0,3.018479,2.9696064,-8.232371,-33.58956
generated,0.5,0,3.0739014,2.956641,-7.7377267,-33.367634
generated,0.75,0,3.1650388,2.9480839,-8.11496,-33.23186
generated,1.0,0,3.2382352,2.9239738,-7.9780054,-33.098583
real_inactive,0.0,1,4.6196537,-2.4479375,-13.214635,-31.807516
real_active,1.0,1,3.9155622,-1.8060029,-14.196995,-31.05396
generated,0.0,1,4.619653,-2.4479373,-13.212615,-31.804272
generated,0.25,1,4.6329722,-2.4949186,-13.412493,-31.7194
generated,0.5,1,4.677568,-2.5275302,-13.380254,-31.52562
generated,0.75,1,4.755342,-2.564598,-13.255407,-31.352114
generated,1.0,1,4.815746,-2.6284487,-13.234108,-31.262259
real_inactive,0.0,2,-3.7747173,-0.25891498,11.714118,42.04816
real_active,1.0,2,-3.764455,-0.2561294,11.715001,42.04956
generated,0.0,2,-3.7747173,-0.25891498,11.825583,41.873013
generated,0.25,2,-3.8012533,-0.23100236,11.614259,41.644855
generated,0.5,2,-3.8031638,-0.2076037,11.228193,41.802895
generated,0.75,2,-3.7931268,-0.16018845,11.115364,41.55431
generated,1.0,2,-3.8173094,-0.121962346,10.96356,41.469208
real_inactive,0.0,3,-3.8377452,-0.3599449,14.758245,37.28657
real_active,1.0,3,-3.840206,-0.3730818,14.930668,37.248287
generated,0.0,3,-3.8377452,-0.3599449,14.758245,37.28657
generated,0.25,3,-3.8652487,-0.33831242,14.932732,36.9233
generated,0.5,3,-3.8696508,-0.31573805,14.553377,36.775173
generated,0.75,3,-3.860692,-0.27668923,14.6130495,36.512054
generated,1.0,3,-3.8797476,-0.2535104,14.5423,36.349037
