model,kinase,source_pdb,target_pdb,t,distance_to_source,distance_to_target,distance_to_active,distance_to_inactive,distance_matrix_consistency_error,is_observed_structure,supervision_status
inverse_deactivation_guidance_3.0,KIT,8pqf,6gql,0.0,0.0,10.481769561767578,0.0,10.481769561767578,0.0,True,observed source endpoint
inverse_deactivation_guidance_3.0,KIT,8pqf,6gql,0.25,4.7572736740112305,10.78853702545166,4.7572736740112305,10.78853702545166,2.505525588989258,False,latent generated hypothesis
inverse_deactivation_guidance_3.0,KIT,8pqf,6gql,0.5,10.265125274658203,13.349691390991211,10.265125274658203,13.349691390991211,4.593449115753174,False,latent generated hypothesis
inverse_deactivation_guidance_3.0,KIT,8pqf,6gql,0.75,15.199625968933105,16.770612716674805,15.199625968933105,16.770612716674805,6.720007419586182,False,latent generated hypothesis
inverse_deactivation_guidance_3.0,KIT,8pqf,6gql,1.0,18.908977508544922,19.818492889404297,18.908977508544922,19.818492889404297,9.48238468170166,False,generated endpoint prediction supervised against observed target
inverse_deactivation_guidance_3.0,KIT,8pqc,6gql,0.0,0.0,9.128228187561035,0.0,9.128228187561035,0.0,True,observed source endpoint
inverse_deactivation_guidance_3.0,KIT,8pqc,6gql,0.25,4.7402663230896,9.442547798156738,4.7402663230896,9.442547798156738,2.4228882789611816,False,latent generated hypothesis
inverse_deactivation_guidance_3.0,KIT,8pqc,6gql,0.5,10.252092361450195,12.284587860107422,10.252092361450195,12.284587860107422,4.459878444671631,False,latent generated hypothesis
inverse_deactivation_guidance_3.0,KIT,8pqc,6gql,0.75,15.206746101379395,16.024938583374023,15.206746101379395,16.024938583374023,6.587605953216553,False,latent generated hypothesis
inverse_deactivation_guidance_3.0,KIT,8pqc,6gql,1.0,18.955886840820312,19.260053634643555,18.955886840820312,19.260053634643555,9.419788360595703,False,generated endpoint prediction supervised against observed target
inverse_deactivation_guidance_3.0,MET,4iwd,3rhk,0.0,0.0,9.511153221130371,0.0,9.511153221130371,0.0,True,observed source endpoint
inverse_deactivation_guidance_3.0,MET,4iwd,3rhk,0.25,5.31187105178833,10.258676528930664,5.31187105178833,10.258676528930664,2.205246686935425,False,latent generated hypothesis
inverse_deactivation_guidance_3.0,MET,4iwd,3rhk,0.5,11.255925178527832,13.570034980773926,11.255925178527832,13.570034980773926,3.9119441509246826,False,latent generated hypothesis
inverse_deactivation_guidance_3.0,MET,4iwd,3rhk,0.75,16.607440948486328,17.77802085876465,16.607440948486328,17.77802085876465,5.602732181549072,False,latent generated hypothesis
inverse_deactivation_guidance_3.0,MET,4iwd,3rhk,1.0,20.682437896728516,21.507617950439453,20.682437896728516,21.507617950439453,7.569882392883301,False,generated endpoint prediction supervised against observed target
inverse_deactivation_guidance_3.0,MET,3efk,3efj,0.0,0.0,0.5857927799224854,0.0,0.5857927799224854,0.0,True,observed source endpoint
inverse_deactivation_guidance_3.0,MET,3efk,3efj,0.25,5.407175540924072,5.494552135467529,5.407175540924072,5.494552135467529,2.0831308364868164,False,latent generated hypothesis
inverse_deactivation_guidance_3.0,MET,3efk,3efj,0.5,11.40743350982666,11.475704193115234,11.40743350982666,11.475704193115234,4.115384101867676,False,latent generated hypothesis
inverse_deactivation_guidance_3.0,MET,3efk,3efj,0.75,16.541044235229492,16.600099563598633,16.541044235229492,16.600099563598633,5.907283782958984,False,latent generated hypothesis
inverse_deactivation_guidance_3.0,MET,3efk,3efj,1.0,20.58386993408203,20.642271041870117,20.58386993408203,20.642271041870117,7.871007442474365,False,generated endpoint prediction supervised against observed target
