structure_id,pdb_id,kinase_name,kinase_family,kinase_group,species,conformational_state,dfg_state,alphac_state,ligand_present,resolution,filepath,exclusion_reason,sequence_length
12859,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12857,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12883,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12915,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12879,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12913,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12903,6xr7,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12863,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12897,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12900,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12866,6xr7,ABL1,Abl,TK,Human,active,in,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12894,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12909,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12914,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12870,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
