pdb_id,kinase,state,split,pca1,pca2,tsne1,tsne2
1agw,FGFR1,active,train,-1.3069196,0.9228906,-9.106785,24.556465
1bi7,CDK6,inactive,train,-1.3597893,-0.46268085,-15.122208,1.057989
1bi8,CDK6,inactive,train,-0.5125079,-0.5531169,-14.877275,0.45692745
1blx,CDK6,inactive,train,-0.18794706,-0.5925533,-14.792772,0.10786516
1fgi,FGFR1,active,train,-1.0376431,0.8222711,-9.970274,24.183542
1fgk,FGFR1,active,train,-0.79880315,0.35595903,-9.932216,22.391287
1g3n,CDK6,inactive,train,-1.9669816,-0.7399331,-15.24248,1.3140751
1jow,CDK6,active,train,-0.47621375,-0.10089944,-18.313473,6.6653557
1m14,EGFR,active,train,0.023805974,-1.8400444,-5.0727053,-17.732021
1m17,EGFR,active,train,0.18767795,-1.9607114,-4.805215,-28.305313
1uwh,BRAF,inactive,train,0.8511458,-0.3511556,-12.504208,-4.7993555
1uwj,BRAF,inactive,train,0.6291452,-0.24787018,-6.3978367,-7.3679905
1xkk,EGFR,inactive,train,0.7600675,1.7575054,-6.169771,8.629066
1xo2,CDK6,active,train,0.7236561,-0.7383884,-17.347067,-4.0497646
2e2b,ABL1,inactive,train,-1.507589,1.3760955,0.46397936,15.026017
2eb2,EGFR,active,train,0.16019902,-1.872357,-5.020891,-17.495651
2eb3,EGFR,active,train,-0.6530746,-1.3842715,13.784252,-21.29675
2euf,CDK6,active,train,-0.21389899,-0.787198,-18.290163,6.459344
2f2c,CDK6,active,train,-0.6114396,-0.5558473,-18.299973,6.6234927
2f4j,ABL1,active,train,-0.03140277,1.1169626,-17.825396,23.21023
2fb8,BRAF,active,train,0.59910756,-1.2396551,-11.255733,-9.012648
2fgi,FGFR1,active,train,-1.2378703,0.40540525,-9.2700815,22.613579
2g1t,ABL1,inactive,train,-0.24033138,1.1780063,-13.808141,22.949413
2g2f,ABL1,inactive,train,0.6221492,1.1930338,-16.420755,26.164686
2g2h,ABL1,inactive,train,0.43082836,0.8737051,-14.133808,23.937508
2g2i,ABL1,active,train,-0.07438948,0.5465108,-14.778812,21.240261
2gqg,ABL1,active,train,0.44253358,1.3091832,-15.868657,21.817598
2gs2,EGFR,active,train,0.14164895,-1.875918,-3.6508393,-30.164242
2gs6,EGFR,active,train,0.39968818,-1.8860945,-5.6413875,-28.330755
