kinase,rank,neighbor,cosine_similarity
ABL1,1,MET,0.9877548217773438
ABL1,2,FGFR1,0.9877414703369141
ABL1,3,KIT,0.9874648451805115
ABL1,4,PDGFRA,0.9853335618972778
ABL1,5,CDK6,0.9545462727546692
ABL1,6,CDK4,0.9510331749916077
ABL1,7,BRAF,0.9277998805046082
ABL1,8,PIK3CA,0.9183651804924011
ABL1,9,AKT1,0.9141557812690735
ABL1,10,ALK,0.8274766802787781
ABL1,11,EGFR,0.715036928653717
ABL1,12,ERBB2,0.6403850317001343
AKT1,1,FGFR1,0.9275121688842773
AKT1,2,BRAF,0.9270710945129395
AKT1,3,MET,0.918244481086731
AKT1,4,ABL1,0.9141557812690735
AKT1,5,PDGFRA,0.911280632019043
AKT1,6,KIT,0.9111891388893127
AKT1,7,CDK6,0.9050227403640747
AKT1,8,CDK4,0.9005764722824097
AKT1,9,ALK,0.89105224609375
AKT1,10,PIK3CA,0.8678009510040283
AKT1,11,EGFR,0.8140817284584045
AKT1,12,ERBB2,0.7589833736419678
ALK,1,EGFR,0.9397249221801758
ALK,2,ERBB2,0.9134223461151123
ALK,3,BRAF,0.9005574584007263
ALK,4,AKT1,0.89105224609375
ALK,5,FGFR1,0.8571519255638123
ALK,6,MET,0.8399111032485962
ALK,7,PDGFRA,0.8314864039421082
ALK,8,ABL1,0.8274766802787781
ALK,9,KIT,0.8165504932403564
ALK,10,CDK4,0.7528496980667114
ALK,11,CDK6,0.7510043978691101
ALK,12,PIK3CA,0.7343824505805969
BRAF,1,FGFR1,0.9422867298126221
BRAF,2,MET,0.9374439716339111
BRAF,3,PDGFRA,0.9284981489181519
BRAF,4,ABL1,0.9277998805046082
BRAF,5,AKT1,0.9270710945129395
BRAF,6,KIT,0.9266977310180664
BRAF,7,ALK,0.9005574584007263
BRAF,8,CDK6,0.8914942741394043
BRAF,9,CDK4,0.8839186429977417
BRAF,10,PIK3CA,0.8636021018028259
BRAF,11,EGFR,0.8452718257904053
BRAF,12,ERBB2,0.7905890941619873
CDK4,1,CDK6,0.9945098161697388
CDK4,2,KIT,0.9564687609672546
CDK4,3,MET,0.9531574249267578
CDK4,4,ABL1,0.9510331749916077
CDK4,5,PDGFRA,0.9508094191551208
CDK4,6,FGFR1,0.9453174471855164
CDK4,7,PIK3CA,0.9357136487960815
CDK4,8,AKT1,0.9005764722824097
CDK4,9,BRAF,0.8839186429977417
CDK4,10,ALK,0.7528496980667114
CDK4,11,EGFR,0.6197078227996826
CDK4,12,ERBB2,0.5489976406097412
CDK6,1,CDK4,0.9945098161697388
CDK6,2,KIT,0.9633914232254028
CDK6,3,MET,0.957948625087738
CDK6,4,PDGFRA,0.9573447704315186
CDK6,5,ABL1,0.9545462727546692
CDK6,6,FGFR1,0.9494400024414062
CDK6,7,PIK3CA,0.9421298503875732
CDK6,8,AKT1,0.9050227403640747
CDK6,9,BRAF,0.8914942741394043
CDK6,10,ALK,0.7510043978691101
CDK6,11,EGFR,0.6224286556243896
CDK6,12,ERBB2,0.5467900633811951
EGFR,1,ERBB2,0.9863025546073914
EGFR,2,ALK,0.9397249221801758
EGFR,3,BRAF,0.8452718257904053
EGFR,4,AKT1,0.8140817284584045
EGFR,5,FGFR1,0.7503483891487122
EGFR,6,MET,0.7250959873199463
EGFR,7,PDGFRA,0.7166934609413147
EGFR,8,ABL1,0.715036928653717
EGFR,9,KIT,0.7009202241897583
EGFR,10,CDK6,0.6224286556243896
EGFR,11,CDK4,0.6197078227996826
EGFR,12,PIK3CA,0.6099861860275269
ERBB2,1,EGFR,0.9863025546073914
ERBB2,2,ALK,0.9134223461151123
ERBB2,3,BRAF,0.7905890941619873
ERBB2,4,AKT1,0.7589833736419678
ERBB2,5,FGFR1,0.6816974878311157
ERBB2,6,MET,0.6530125141143799
ERBB2,7,ABL1,0.6403850317001343
ERBB2,8,PDGFRA,0.6399388313293457
ERBB2,9,KIT,0.6220384240150452
ERBB2,10,CDK4,0.5489976406097412
ERBB2,11,CDK6,0.5467900633811951
ERBB2,12,PIK3CA,0.5203226804733276
FGFR1,1,KIT,0.9885207414627075
FGFR1,2,ABL1,0.9877414703369141
FGFR1,3,PDGFRA,0.9869198799133301
FGFR1,4,MET,0.9867788553237915
FGFR1,5,CDK6,0.9494400024414062
FGFR1,6,CDK4,0.9453174471855164
FGFR1,7,BRAF,0.9422867298126221
FGFR1,8,AKT1,0.9275121688842773
