split,kinase,source_states,target_states,source_structures,target_structures,candidate_pairs,valid_pairs,selected_pairs,mean_aligned_residues,mean_alignment_coverage,mean_sequence_identity,same_chain_id_rate,same_ligand_rate,mean_resolution_difference,mean_sequence_mismatches,mean_missing_residue_ids,rejections
train,ABL1,active,inactive,7,36,252,142,2,274.0,0.9961977186311788,1.0,1.0,1.0,0.03849999999999998,0.0,5.5,"{'identity': 45, 'resolution': 61, 'ligand': 51, 'coverage': 35, 'length': 35}"
train,AKT1,active,inactive,16,17,272,0,0,,,,,,,,,"{'coverage': 271, 'identity': 12, 'ligand': 61, 'resolution': 6, 'length': 36}"
train,ALK,active,inactive,61,3,183,159,2,280.5,0.9739583333333333,1.0,1.0,1.0,0.08500000000000008,0.0,49.0,{'ligand': 24}
train,BRAF,active,inactive,21,88,1848,912,2,262.0,0.9924242424242424,1.0,1.0,1.0,0.05500000000000016,0.0,22.5,"{'ligand': 651, 'resolution': 490, 'identity': 115, 'coverage': 90, 'length': 101}"
train,CDK4,active,inactive,3,11,33,1,1,194.0,0.751937984496124,1.0,0.0,1.0,0.71,0.0,20.0,"{'ligand': 11, 'resolution': 21, 'coverage': 18, 'length': 14}"
train,CDK6,active,inactive,5,14,70,42,2,265.5,0.9311800002464238,1.0,0.0,1.0,0.25,0.0,25.5,"{'ligand': 26, 'resolution': 4}"
train,EGFR,active,inactive,160,107,17120,9008,2,308.0,0.9794650080906149,0.9983606557377049,1.0,1.0,0.09699999999999986,0.5,3.0,"{'resolution': 3550, 'ligand': 4335, 'identity': 1675, 'coverage': 960, 'length': 960}"
train,ERBB2,active,inactive,2,3,6,1,1,261.0,0.9125874125874126,1.0,0.0,1.0,0.96,0.0,32.0,"{'identity': 2, 'resolution': 3}"
train,FGFR1,active,inactive,60,1,60,53,2,268.5,0.9728191663931736,1.0,1.0,1.0,0.125,0.0,54.5,{'ligand': 7}
val,KIT,active,inactive,10,25,250,190,2,292.5,0.9815436241610738,1.0,1.0,1.0,0.17499999999999982,0.0,137.0,"{'ligand': 40, 'resolution': 44, 'coverage': 30, 'length': 30}"
val,MET,active,inactive,6,95,570,457,2,284.0,0.9882943143812709,1.0,1.0,1.0,0.22499999999999998,0.0,25.0,"{'ligand': 107, 'length': 4, 'resolution': 6, 'coverage': 3}"
test,PDGFRA,active,inactive,2,9,18,8,2,306.5,0.963146385387188,0.9984423676012462,1.0,1.0,0.30000000000000004,0.5,195.5,"{'ligand': 8, 'resolution': 2}"
test,PIK3CA,active,inactive,97,4,388,171,2,1040.0,0.9923718474005281,1.0,1.0,1.0,0.010000000000000009,0.0,67.5,"{'ligand': 194, 'resolution': 29, 'length': 5, 'coverage': 4}"
