pdb_id,sequence_length,exclusion_reason
1agw,272,
1bi7,269,
1bi8,264,
1blx,306,
1fgi,272,
1fgk,278,
1g3n,293,
1jow,277,
1m14,307,
1m17,312,
1opl,365,
1pkg,279,
1r0p,301,
1r1w,287,
1t45,331,
1t46,297,
1uwh,264,
1uwj,263,
1xkk,289,
1xo2,289,
2e2b,270,
2eb2,305,
2eb3,294,
2euf,282,
2f2c,280,
2f4j,287,
2fb8,259,
2fgi,274,
2fo0,466,
2g15,301,
2g1t,277,
2g2f,275,
2g2h,272,
2g2i,271,
2gqg,277,
2gs2,305,
2gs6,311,
2gs7,281,
2hiw,274,
2hyy,265,
2hz0,243,
2hz4,262,
2hzi,264,
2itn,304,
2ito,303,
2itp,305,
2itq,300,
2itt,302,
2itu,304,
2itv,303,
2itw,300,
2itx,307,
2ity,300,
2itz,302,
2j5e,310,
2j5f,308,
2j6m,306,
2jiv,270,
2rd0,997,
2rf9,280,
2rfd,286,
2rfe,262,
2rfn,268,
2rfs,264,
2rgp,284,
2v7a,270,
2w96,267,
2w99,291,
2w9f,261,
2w9z,287,
2wd1,291,
2wgj,289,
2wkm,286,
2xb7,286,
2xba,283,
2xp2,285,
2yfx,292,
2yhv,291,
2yjr,278,
2yjs,286,
3a4p,285,
3aox,298,
3bel,280,
3c1x,290,
3c4c,258,
3c4f,290,
3ccn,275,
3cd8,278,
3ce3,293,
3cqu,319,
3cqw,319,
3cs9,247,
3cth,295,
3ctj,289,
3d4q,264,
3dkc,312,
3dkf,294,
3dkg,281,
3efj,276,
3efk,276,
3f66,271,
3f82,278,
3g0e,332,
3g0f,291,
3g33,291,
3gop,300,
3gqi,307,
3gql,275,
3gt8,296,
3hhm,1032,
3hiz,1024,
3i5n,280,
3idp,256,
3ii5,257,
3js2,295,
3kxx,286,
3ky2,280,
3l8v,293,
3l9p,303,
3lcs,304,
3lct,308,
3lq8,278,
3lzb,261,
3mv5,316,
3mvh,312,
3nup,252,
3nux,261,
3o96,367,
3ocb,320,
3ow4,318,
3poz,293,
3pp0,286,
3ppj,262,
3ppk,264,
3prf,262,
3pri,264,
3psb,264,
3psd,262,
3pyy,257,
3q4c,264,
3q6u,288,
3q6w,299,
3q96,262,
3qkk,327,
3qkl,318,
3qkm,330,
3qri,262,
3qrj,258,
3qrk,270,
3qti,292,
3r7o,301,
3rhk,298,
3rhx,275,
3skc,276,
3tt0,272,
3tv4,276,
3tv6,276,
3u6h,280,
3u6i,281,
3ue4,268,
3ug1,296,
3ug2,299,
3vjn,297,
3vjo,298,
3vw8,303,
3w2o,305,
3w2p,308,
3w2q,307,
3w2r,297,
3w2s,307,
3w32,317,
3w33,297,
3wj6,277,
3zbx,282,
3zc5,289,
3zcl,289,
3zim,886,
3zxz,289,
3zze,286,
4anl,292,
4anq,293,
4ans,293,
4aoi,289,
4ap7,289,
4aua,256,
4ccb,287,
4ccu,292,
4cd0,295,
4cli,294,
4clj,295,
4cmo,295,
4cmt,284,
4cmu,294,
4cnh,285,
4cqe,248,
4ctb,292,
4ctc,288,
4dbn,263,
4dce,288,
4deg,286,
4deh,286,
4dei,287,
4e26,270,
4e4x,274,
4eev,283,
4ehe,266,
4ehg,260,
4ejn,376,
4ekk,319,
4ekl,330,
4ez5,258,
4f63,271,
4f64,278,
4f65,279,
4fc0,254,
4fnw,304,
4fnx,292,
4fny,273,
4fnz,287,
4fob,295,
4foc,296,
4fod,308,
4g5j,307,
4g9c,264,
4g9r,262,
4gg5,274,
4gg7,278,
4gv1,330,
4hjo,278,
4hvs,326,
4i1z,287,
4i20,287,
4i21,302,
4i22,297,
4i23,304,
4i24,304,
4iwd,302,
4joa,250,
4jps,999,
4jq7,304,
4jq8,304,
4jr3,304,
4jrv,301,
4jvg,259,
4knb,275,
4ksp,256,
4ksq,258,
4l1b,994,
4l23,1014,
4l2y,991,
4li5,306,
4ll0,291,
4lqm,305,
4lrm,293,
4mbj,269,
4mkc,303,
4mne,258,
4mnf,257,
4mxc,290,
4nk9,282,
4nka,287,
4nks,271,
4ovu,1044,
4ovv,1042,
4pp7,267,
4r1v,292,
4r1y,265,
4r3p,310,
4r3r,309,
4r5s,299,
4r5y,253,
4riw,293,
4rix,297,
4riy,297,
4rj4,299,
4rj5,296,
4rj6,297,
4rj7,295,
4rj8,298,
4rwi,280,
4rwj,307,
4rwk,282,
4rwl,282,
4rzv,261,
4rzw,252,
4tks,307,
4tt7,291,
4tth,256,
4tuu,879,
4tv3,879,
4twp,266,
4u0i,297,
4uwb,299,
4uwc,301,
4uwy,273,
4v01,275,
4v05,287,
4wa9,276,
4waf,1017,
4wkq,297,
4wo5,257,
4wrg,290,
4wun,282,
4xey,359,
4xmo,289,
4xv2,249,
4xv9,261,
4xyf,290,
4yc8,264,
4yht,258,
4ykn,1205,
4z55,294,
4zau,283,
4zjv,282,
4zog,268,
4zop,1000,
4zsa,282,
4zse,297,
5a46,297,
5a4c,286,
5a9u,292,
5aa8,292,
5aa9,295,
5aaa,294,
5aab,293,
5aac,292,
5am6,280,
5am7,287,
5b7v,282,
5c8k,300,
5c8m,302,
5c8n,300,
5c9c,251,
5cal,300,
5can,301,
5cao,300,
5cap,303,
5caq,301,
5cas,299,
5cau,297,
5cav,306,
5cnn,300,
5cno,300,
5csw,254,
5csx,261,
5ct7,254,
5czh,311,
5czi,310,
5d41,300,
5dg5,297,
5dxh,981,
5dxt,879,
5edp,295,
5edq,298,
5edr,299,
5em5,298,
5em6,301,
5em7,300,
5em8,303,
5eob,288,
5ew8,290,
5eyc,288,
5eyd,289,
5fd2,264,
5fed,288,
5fee,287,
5feq,290,
5fi4,1009,
5flf,292,
5fto,298,
5ftq,293,
5fwk,209,
5fwl,291,
5fwm,291,
5fwp,209,
5gmp,305,
5gnk,277,
5grn,285,
5gty,297,
5gtz,317,
5hcx,298,
5hcy,302,
5hcz,300,
5hg5,302,
5hg7,280,
5hg8,300,
5hg9,280,
5hi2,247,
5hib,314,
5hic,302,
5hid,257,
5hie,253,
5hlw,284,
5hni,245,
5ho6,240,
5hoa,225,
5hor,247,
5hti,290,
5hu9,267,
5imx,266,
5ita,252,
5itd,995,
5iug,285,
5iuh,285,
5iui,303,
5j7h,291,
5j9y,300,
5j9z,291,
5jeb,299,
5jrq,258,
5jsm,265,
5jt2,234,
5k5x,345,
5kcv,353,
5kz0,293,
5l2i,260,
5l2s,263,
5l2t,261,
5mo4,429,
5o49,286,
5o4a,291,
5sw8,1031,
5swg,1042,
5swo,1051,
5swp,1060,
5swr,1053,
5swt,1059,
