,ABL1,AKT1,ALK,BRAF,CDK4,CDK6,EGFR,ERBB2,FGFR1,KIT,MET,PDGFRA,PIK3CA
ABL1,1.0000004,0.9141558,0.8274767,0.9277999,0.9510332,0.9545463,0.7150369,0.64038503,0.9877415,0.98746485,0.9877548,0.98533356,0.9183652
AKT1,0.9141558,0.99999994,0.89105225,0.9270711,0.9005765,0.90502274,0.8140817,0.7589834,0.92751217,0.91118914,0.9182445,0.91128063,0.86780095
ALK,0.8274767,0.89105225,1.0000007,0.90055746,0.7528497,0.7510044,0.9397249,0.91342235,0.8571519,0.8165505,0.8399111,0.8314864,0.73438245
BRAF,0.9277999,0.9270711,0.90055746,1.0000004,0.88391864,0.8914943,0.8452718,0.7905891,0.94228673,0.92669773,0.937444,0.92849815,0.8636021
CDK4,0.9510332,0.9005765,0.7528497,0.88391864,0.99999976,0.9945098,0.6197078,0.54899764,0.94531745,0.95646876,0.9531574,0.9508094,0.93571365
CDK6,0.9545463,0.90502274,0.7510044,0.8914943,0.9945098,1.0,0.62242866,0.54679006,0.94944,0.9633914,0.9579486,0.9573448,0.94212985
EGFR,0.7150369,0.8140817,0.9397249,0.8452718,0.6197078,0.62242866,1.0000007,0.98630255,0.7503484,0.7009202,0.725096,0.71669346,0.6099862
ERBB2,0.64038503,0.7589834,0.91342235,0.7905891,0.54899764,0.54679006,0.98630255,1.0,0.6816975,0.6220384,0.6530125,0.63993883,0.5203227
FGFR1,0.9877415,0.92751217,0.8571519,0.94228673,0.94531745,0.94944,0.7503484,0.6816975,1.0000005,0.98852074,0.98677886,0.9869199,0.9165285
KIT,0.98746485,0.91118914,0.8165505,0.92669773,0.95646876,0.9633914,0.7009202,0.6220384,0.98852074,0.99999964,0.9895586,0.9962593,0.93923527
MET,0.9877548,0.9182445,0.8399111,0.937444,0.9531574,0.9579486,0.725096,0.6530125,0.98677886,0.9895586,0.99999994,0.99023914,0.92930436
PDGFRA,0.98533356,0.91128063,0.8314864,0.92849815,0.9508094,0.9573448,0.71669346,0.63993883,0.9869199,0.9962593,0.99023914,0.99999976,0.93598294
PIK3CA,0.9183652,0.86780095,0.73438245,0.8636021,0.93571365,0.94212985,0.6099862,0.5203227,0.9165285,0.93923527,0.92930436,0.93598294,1.0000004
